run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,1,3,11,20,0.001,0.2,2,1001,0.0096,100.0,2.1645,46.46
20251015-122621,controller_v2,1,3,12,20,0.001,0.2,2,1001,0.0073,100.0,2.1016,47.92
20251015-122621,controller_v2,1,3,13,20,0.001,0.2,2,1001,0.0053,100.0,2.0687,48.6
20251015-122621,controller_v2,1,3,14,20,0.001,0.2,2,1001,0.0041,100.0,2.062,48.92
20251015-122621,controller_v2,1,3,15,20,0.001,0.2,2,1001,0.0034,100.0,2.0373,49.04
20251015-122621,controller_v2,1,3,16,20,0.001,0.2,2,1001,0.0027,100.0,2.0297,49.72
20251015-122621,controller_v2,1,3,17,20,0.001,0.2,2,1001,0.0025,100.0,2.0149,49.44
20251015-122621,controller_v2,1,3,18,20,0.001,0.2,2,1001,0.0021,100.0,2.0013,49.98
20251015-122621,controller_v2,1,3,19,20,0.001,0.2,2,1001,0.0019,100.0,2.0022,50.08
20251015-122621,controller_v2,1,3,20,20,0.001,0.2,2,1001,0.0018,100.0,1.9976,50.1
20251015-122621,controller_v2,2,0,1,20,0.001,0.25,3,1001,1.2296,67.79,2.1189,46.14
20251015-122621,controller_v2,2,0,2,20,0.001,0.25,3,1001,0.6636,82.01,2.3303,41.8
20251015-122621,controller_v2,2,0,3,20,0.001,0.25,3,1001,0.3598,93.45,2.3277,42.04
20251015-122621,controller_v2,2,0,4,20,0.001,0.25,3,1001,0.2116,96.16,2.2489,44.36
20251015-122621,controller_v2,2,0,5,20,0.001,0.25,3,1001,0.12,98.8,2.2533,44.12
20251015-122621,controller_v2,2,0,6,20,0.001,0.25,3,1001,0.0641,99.6,2.1304,46.96
20251015-122621,controller_v2,2,0,7,20,0.001,0.25,3,1001,0.0335,99.92,2.1042,47.54
20251015-122621,controller_v2,2,0,8,20,0.001,0.25,3,1001,0.026,99.84,2.0284,49.66
20251015-122621,controller_v2,2,0,9,20,0.001,0.25,3,1001,0.0135,100.0,1.9679,50.96
20251015-122621,controller_v2,2,0,10,20,0.001,0.25,3,1001,0.0094,100.0,1.9346,52.0
20251015-122621,controller_v2,2,0,11,20,0.001,0.25,3,1001,0.0067,100.0,1.8816,52.84
20251015-122621,controller_v2,2,0,12,20,0.001,0.25,3,1001,0.0047,100.0,1.8528,53.6
20251015-122621,controller_v2,2,0,13,20,0.001,0.25,3,1001,0.0038,100.0,1.8392,54.28
20251015-122621,controller_v2,2,0,14,20,0.001,0.25,3,1001,0.0029,100.0,1.8278,54.66
20251015-122621,controller_v2,2,0,15,20,0.001,0.25,3,1001,0.0025,100.0,1.8183,54.4
20251015-122621,controller_v2,2,0,16,20,0.001,0.25,3,1001,0.0021,100.0,1.8105,54.62
20251015-122621,controller_v2,2,0,17,20,0.001,0.25,3,1001,0.0019,100.0,1.8011,55.44
20251015-122621,controller_v2,2,0,18,20,0.001,0.25,3,1001,0.0019,100.0,1.8045,55.1
20251015-122621,controller_v2,2,0,19,20,0.001,0.25,3,1001,0.0015,100.0,1.7867,55.48
20251015-122621,controller_v2,2,0,20,20,0.001,0.25,3,1001,0.0014,100.0,1.7919,55.44
20251015-122621,controller_v2,2,1,1,20,0.001,0.25,3,1001,1.2153,67.15,2.1334,46.08
20251015-122621,controller_v2,2,1,2,20,0.001,0.25,3,1001,0.6322,83.53,2.3232,42.1
20251015-122621,controller_v2,2,1,3,20,0.001,0.25,3,1001,0.3372,93.61,2.391,41.16
20251015-122621,controller_v2,2,1,4,20,0.001,0.25,3,1001,0.1915,97.44,2.4272,40.68
20251015-122621,controller_v2,2,1,5,20,0.001,0.25,3,1001,0.089,99.2,2.2438,44.4
20251015-122621,controller_v2,2,1,6,20,0.001,0.25,3,1001,0.0572,99.6,2.1923,45.1
20251015-122621,controller_v2,2,2,1,20,0.001,0.25,3,1001,1.2744,66.83,1.9793,49.12
20251015-122621,controller_v2,2,2,2,20,0.001,0.25,3,1001,0.6266,83.61,2.8224,34.58
